Identifiant,Annee,NUM_SAGO,Entreprise,Etablissement,SCIAN,Adresse,Region,Mun,Longitude,Latitude,Emissions_totales,Emissions_bio_combustion,Emissions_bio_autres,Emissions_totales_sans_bio,Note
3,2012,52670411,Énergie Valero inc.,Énergie Valero inc. (raffinerie Jean-Gaulin),324110 : Raffineries de pétrole,"165, chemin des Îles Lévis (Québec), G6V 7M5",Chaudière-Appalaches,Lévis,-71.18914,46.760037,1338132,0,0,1338132,
5,2012,90222761,Domtar inc.,Domtar inc. Usine de Windsor,322121 : Usines de papier (sauf papier journal),"609, rang 12 Windsor  (Québec), J1S 2L9",Estrie,Windsor,-71.978826,45.56441,1088109,1018437,0,69672,
7,2012,90379504,Mines Aurizon ltée,Les Mines Casa Berardi,212220 : Extraction de minerais d'or & d'argent,"Baie-James (Québec), J9Z 2X5",Nord-du-Québec,Eeyou Istchee Baie-James,-79.27955556,49.56575,12092,0,0,12092,
8,2012,54115985,Hydro-Québec,Centrale thermique d'Hydro-Québec de Cap-aux-Meules,221112 : Product. d'électr. à partir de combust. fossile,"1034, chemin de La Vernière Case postale 8190 Les Îles-de-la-Madeleine (Québec), G4T 1R3",Gaspésie--Îles-de-la-Madeleine,Les Îles-de-la-Madeleine,-61.885802,47.374462,125154,0,0,125154,
10,2012,54907720,Les forges de Sorel cie,Les Forges de Sorel cie,332113 : Forgeage,"100, rue McCarthy Saint-Joseph-de-Sorel (Québec), J3R 3M8",Montérégie,Saint-Joseph-de-Sorel,-73.12650174,46.04566926,47031,0,0,47031,
12,2012,51773372,Rio Tinto Alcan inc.,Terrain de l'ancienne usine Rio Tinto Alcan inc.,331313 : Production primaire d'alumine & d'aluminium,"1100, boulevard Saint-Sacrement Shawinigan (Québec), G9N 3M7",Mauricie,Shawinigan,-72.73683874,46.55941026,291506,0,0,291506,
16,2012,53995098,Glencore Canada Corporation,Glencore Canada Corporation - Affinerie CCR,331410 : Fonte & affinage métaux non ferreux (sauf Al),"220, avenue Durocher Montréal-Est (Québec), H1B 5H6",Montréal,Montréal-Est,-73.50762783,45.62733523,50340,0,0,50340,
18,2012,52344595,Matériaux Blanchet inc.,Matériaux Blanchet inc.,321111 : Scieries sauf usines de bard. & bard. de fente,"2771, route de l'Aéroport C.P. 430 Amos (Québec), J9T 3A8",Abitibi-Témiscamingue,Amos,-78.16896944,48.56403056,29719,29137,0,582,
20,2012,90404385,Alcoa Canada Cie,Alcoa Canada Cie - Aluminerie de Baie-Comeau,331313 : Production primaire d'alumine & d'aluminium,"100, route Maritime Baie-Comeau (Québec), G4Z 2L6",Côte-Nord,Baie-Comeau,-68.14733428,49.25562657,906257,0,0,906257,
22,2012,11307774,Zinc Électrolytique du Canada limitée,Zinc Électrolytique du Canada limitée,331410 : Fonte & affinage métaux non ferreux (sauf Al),"860, boulevard Gérard-Cadieux Salaberry-de-Valleyfield (Québec), J6T 6L4",Montérégie,Salaberry-de-Valleyfield,-74.10305556,45.22805556,28902,0,0,28902,
